pair_id,split,cover,secret,cover_sha256,secret_sha256,cover_source,secret_source,cover_rights_status,secret_rights_status,cover_license,secret_license,cover_width,cover_height,secret_width,secret_height,cover_mode,secret_mode,preprocessing_id,redistribution_allowed,private_archive_object_id,notes
coco-000000031735-000000273715,main,../../data/5j/coco2017/prepared/covers/coco-000000031735-000000273715.png,../../data/5j/coco2017/prepared/secrets/coco-000000031735-000000273715.png,292cd924f2ac6b0b7be6934b44cc78cffad7b16f8424485a6079e62fd1db603b,120c11426a1ec6fa07b08d31e288594e7d34c9052d0a753ed42e290a768d0422,COCO 2017 val image 31735 | http://images.cocodataset.org/val2017/000000031735.jpg | Flickr http://farm9.staticflickr.com/8153/7139420803_11fba8234f_z.jpg,COCO 2017 val image 273715 | http://images.cocodataset.org/val2017/000000273715.jpg | Flickr http://farm4.staticflickr.com/3604/3441464864_01a70b2b99_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=49568f890bcbfddb7afd18ba8afc6c1b20ffe6611a888a3cb93150d24b253ffa secret=d67892fbc83b2d8eb38b740fe2804c902b44d7fcc03d76d0952d38be08cc553a; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000306893-000000255965,main,../../data/5j/coco2017/prepared/covers/coco-000000306893-000000255965.png,../../data/5j/coco2017/prepared/secrets/coco-000000306893-000000255965.png,4c4c05b9fa282d10c9a65132223fc584585224fcca78b78d137df23b8e2f7ba5,a810f148cd77d4391a061776f2ae79409cfadce01f67a6a6382142646e9d46ae,COCO 2017 val image 306893 | http://images.cocodataset.org/val2017/000000306893.jpg | Flickr http://farm3.staticflickr.com/2320/1716567943_1543348c2e_z.jpg,COCO 2017 val image 255965 | http://images.cocodataset.org/val2017/000000255965.jpg | Flickr http://farm7.staticflickr.com/6094/6277341642_28ebd749f2_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=3314e549507b84baf5d46ee1d042f32865b45e4b382f600445408bb00b7bda7d secret=c0b097a4efe69c75afd2e8e9552c0c112b17dfded7c8dfa314876790fc1ee8e8; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000119445-000000358195,main,../../data/5j/coco2017/prepared/covers/coco-000000119445-000000358195.png,../../data/5j/coco2017/prepared/secrets/coco-000000119445-000000358195.png,4c8b1ceaacdda867d861215ca5db74aacdb118ca33c2a7fe055884f645503919,54cc97adf3cd332dc6d432ba12bf5a6c199538c5d87c8bf66af7f6a6174be82e,COCO 2017 val image 119445 | http://images.cocodataset.org/val2017/000000119445.jpg | Flickr http://farm4.staticflickr.com/3098/3225259967_8e1c2723c4_z.jpg,COCO 2017 val image 358195 | http://images.cocodataset.org/val2017/000000358195.jpg | Flickr http://farm3.staticflickr.com/2749/4222767499_919d266f71_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=ef9c63a81758fdcbc4351eac736014c63e6677387051351771ed7183b55daa5d secret=6130b647946095659a441922ce1a47e32cfb0d8db65fc00ed67ce1acac83524d; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000132622-000000134882,main,../../data/5j/coco2017/prepared/covers/coco-000000132622-000000134882.png,../../data/5j/coco2017/prepared/secrets/coco-000000132622-000000134882.png,9bccf0b4f0bc62f50eaaf46f7894dcdc6b8583c314d805eb3cfd3efb28b2e4f6,94e62227c70e5576d245b7a26ca5a2f7fa1d3b526588ca95d5ad90855a167711,COCO 2017 val image 132622 | http://images.cocodataset.org/val2017/000000132622.jpg | Flickr http://farm8.staticflickr.com/7065/6968121996_602ffd7113_z.jpg,COCO 2017 val image 134882 | http://images.cocodataset.org/val2017/000000134882.jpg | Flickr http://farm9.staticflickr.com/8249/8643440732_42cbe68c0f_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=839511d6f6e7688d319b01d6977fc2cc642cb91e8fae4a2e0562c1322d894bf2 secret=d2a42fe606563d125e105246e6cd473f098338364b51f085da8a97d5943876c5; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000392722-000000213547,main,../../data/5j/coco2017/prepared/covers/coco-000000392722-000000213547.png,../../data/5j/coco2017/prepared/secrets/coco-000000392722-000000213547.png,86a80130d00d839a52f3b372b0a51864bc3441849a371f4bacf126f6d6a47a8f,749e1c4ba2647d197d592dfa1962a67cbb149e478de6bc7a0bd99311eacf4897,COCO 2017 val image 392722 | http://images.cocodataset.org/val2017/000000392722.jpg | Flickr http://farm3.staticflickr.com/2829/9953419346_8bcbd5480f_z.jpg,COCO 2017 val image 213547 | http://images.cocodataset.org/val2017/000000213547.jpg | Flickr http://farm3.staticflickr.com/2062/2243132921_779f9cdc24_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=137bbeb12ff0d4152279be001c8c5e59b03e2aac88a939db1a3667fd4aac72c6 secret=61b9b72eba0c02967cfab34df829cdd10e41c2c00e5a43be8db39d97bf43747b; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000412362-000000147745,main,../../data/5j/coco2017/prepared/covers/coco-000000412362-000000147745.png,../../data/5j/coco2017/prepared/secrets/coco-000000412362-000000147745.png,4a2482f5f959b67868b00f81b02956d0b0c5a67b5aa65347624966d026e1d6b7,a5eac056cb2da19312c77a0c986da138b700fb029b07cc4206b2cab303bb4488,COCO 2017 val image 412362 | http://images.cocodataset.org/val2017/000000412362.jpg | Flickr http://farm7.staticflickr.com/6055/6220306659_5f590c47cf_z.jpg,COCO 2017 val image 147745 | http://images.cocodataset.org/val2017/000000147745.jpg | Flickr http://farm8.staticflickr.com/7237/7160109697_fdb3a01c97_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=f128deccbf3e1043c473351db3d0510e6ecc82329600e41938b31615f30bb4a1 secret=2297abddf7dbbcbf4be69b6e950b7bb3ff5cdc31834820c427a1599ed656ef16; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000129054-000000226111,main,../../data/5j/coco2017/prepared/covers/coco-000000129054-000000226111.png,../../data/5j/coco2017/prepared/secrets/coco-000000129054-000000226111.png,eb2705232ad6a652106e533fb9551e4bfa11c5f45e2f5905723d96c52fd0ba44,80663d4b9a3950fec701062bac10fadefca63ba014dddffc82d8a100abfab94e,COCO 2017 val image 129054 | http://images.cocodataset.org/val2017/000000129054.jpg | Flickr http://farm1.staticflickr.com/177/411065926_2483e52299_z.jpg,COCO 2017 val image 226111 | http://images.cocodataset.org/val2017/000000226111.jpg | Flickr http://farm4.staticflickr.com/3348/3333755023_1a0381e95f_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=b499404f1b12c09135740acf268306f73ecc23c4f0259c5b03ae5c06e45a2d3d secret=c57ab832bf70043e1c08b82ef43b2d65e09ad09bc1437658d3c0a15cc0f99ac6; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000170955-000000338986,main,../../data/5j/coco2017/prepared/covers/coco-000000170955-000000338986.png,../../data/5j/coco2017/prepared/secrets/coco-000000170955-000000338986.png,f8404b0585eb431edf66f6bd6ffb087281f62a08db0c0f5b9d8b01f292dc0358,748f6cd92573472f0235a0088059e4b748afe6a603f1c2e68727be8088703e2b,COCO 2017 val image 170955 | http://images.cocodataset.org/val2017/000000170955.jpg | Flickr http://farm3.staticflickr.com/2432/3607873670_1d3e8db7bd_z.jpg,COCO 2017 val image 338986 | http://images.cocodataset.org/val2017/000000338986.jpg | Flickr http://farm8.staticflickr.com/7284/8715827786_9ffcac1fa5_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=874c166cd635cc8a19ffe038eb3939195f83b3b9e8b6611e5e5aad8664b3aa00 secret=62fee3f216c3cb2af25eac42d4b1b48acf30652ea1e8dd154aa4dcca480b852f; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000057725-000000406570,main,../../data/5j/coco2017/prepared/covers/coco-000000057725-000000406570.png,../../data/5j/coco2017/prepared/secrets/coco-000000057725-000000406570.png,48a4e0cf41e15dee2ad64c6f6897e408ad2929f297aff8eb3a5b6a582076583a,e2310395b05ee55cdde9d7b0d3f85cf427c9aaefde03b38b320fd4941bc38817,COCO 2017 val image 57725 | http://images.cocodataset.org/val2017/000000057725.jpg | Flickr http://farm9.staticflickr.com/8049/8401424062_0c29be398a_z.jpg,COCO 2017 val image 406570 | http://images.cocodataset.org/val2017/000000406570.jpg | Flickr http://farm3.staticflickr.com/2625/3796453122_e3fa536540_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=d660e0aa68834a35a45348a1ef40e0d5c5321aea7ac74b36a53fbe7abc63ed60 secret=2790f0224bf5f6315f6480b3c5dc46130dfeeffb1a12bb58b6d686c1cd616065; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000188465-000000167128,main,../../data/5j/coco2017/prepared/covers/coco-000000188465-000000167128.png,../../data/5j/coco2017/prepared/secrets/coco-000000188465-000000167128.png,0bb60f84d7648eaab625ae7382d41b9126d0af73157c560fbef60a611a1b18ae,dc76e856ef8a13f48c2ac3605cdd61a0fb3bb14cfd349543280536c4a4b777c0,COCO 2017 val image 188465 | http://images.cocodataset.org/val2017/000000188465.jpg | Flickr http://farm5.staticflickr.com/4034/4593328722_80576636ed_z.jpg,COCO 2017 val image 167128 | http://images.cocodataset.org/val2017/000000167128.jpg | Flickr http://farm5.staticflickr.com/4017/4538485332_b7c4cb664c_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=2d2becf3e4af9c2d3102edf1b37560f5305cf2b99c96e481e2f5ea6bc8c2aab5 secret=35f0372aa2dca6a117e1733fbe5192584cf559bd5af8b8f9e599ef6bdef8f76b; deterministic center-fit, Pillow L conversion, bicubic resize"
