pair_id,split,cover,secret,cover_sha256,secret_sha256,cover_source,secret_source,cover_rights_status,secret_rights_status,cover_license,secret_license,cover_width,cover_height,secret_width,secret_height,cover_mode,secret_mode,preprocessing_id,redistribution_allowed,private_archive_object_id,notes
coco-000000479126-000000199771,sweep,../../data/5j/coco2017/prepared/covers/coco-000000479126-000000199771.png,../../data/5j/coco2017/prepared/secrets/coco-000000479126-000000199771.png,debe76a0bcb56ea0625ca629b38cd7fe4913a33ce32a05fc376fe152fd3a40a3,616f82d9b574781d2fb67e31cda48fce33a5d88a43ac00b1ea62762d236f944c,COCO 2017 val image 479126 | http://images.cocodataset.org/val2017/000000479126.jpg | Flickr http://farm6.staticflickr.com/5189/5734725144_37742ab51b_z.jpg,COCO 2017 val image 199771 | http://images.cocodataset.org/val2017/000000199771.jpg | Flickr http://farm6.staticflickr.com/5035/7115744429_7d4deeb996_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=a64293cb5d4bfa0b1e6e1c0603f7a4f9892afd90f353c9ed0b250449818d5d36 secret=060235d75ac8a669d705e7685f73f53a09da291583f45faf45ac4ac1dbab4388; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000270908-000000542856,sweep,../../data/5j/coco2017/prepared/covers/coco-000000270908-000000542856.png,../../data/5j/coco2017/prepared/secrets/coco-000000270908-000000542856.png,d5a35b244436acbde408ebb29153fbde1c195ba3bcf6719a43d428e6d6efba6a,41b29f8c36d426dfc35c1e7cf1124edba991677182496d01bdcb417ab6d654c1,COCO 2017 val image 270908 | http://images.cocodataset.org/val2017/000000270908.jpg | Flickr http://farm4.staticflickr.com/3474/3875628760_a9c353f71a_z.jpg,COCO 2017 val image 542856 | http://images.cocodataset.org/val2017/000000542856.jpg | Flickr http://farm9.staticflickr.com/8285/7826926496_3aa9e9d112_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=65bb8aa5f5d9824ec94e17911f26d6fd13bf70ff1c5756cc61fe09cfcd308618 secret=9bd2d9be44355c59e3599f1f5ddcfc06bf8209a0f24b655538e891ae6a4b3fcf; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000306893-000000255965,sweep,../../data/5j/coco2017/prepared/covers/coco-000000306893-000000255965.png,../../data/5j/coco2017/prepared/secrets/coco-000000306893-000000255965.png,4c4c05b9fa282d10c9a65132223fc584585224fcca78b78d137df23b8e2f7ba5,a810f148cd77d4391a061776f2ae79409cfadce01f67a6a6382142646e9d46ae,COCO 2017 val image 306893 | http://images.cocodataset.org/val2017/000000306893.jpg | Flickr http://farm3.staticflickr.com/2320/1716567943_1543348c2e_z.jpg,COCO 2017 val image 255965 | http://images.cocodataset.org/val2017/000000255965.jpg | Flickr http://farm7.staticflickr.com/6094/6277341642_28ebd749f2_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=3314e549507b84baf5d46ee1d042f32865b45e4b382f600445408bb00b7bda7d secret=c0b097a4efe69c75afd2e8e9552c0c112b17dfded7c8dfa314876790fc1ee8e8; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000392722-000000213547,sweep,../../data/5j/coco2017/prepared/covers/coco-000000392722-000000213547.png,../../data/5j/coco2017/prepared/secrets/coco-000000392722-000000213547.png,86a80130d00d839a52f3b372b0a51864bc3441849a371f4bacf126f6d6a47a8f,749e1c4ba2647d197d592dfa1962a67cbb149e478de6bc7a0bd99311eacf4897,COCO 2017 val image 392722 | http://images.cocodataset.org/val2017/000000392722.jpg | Flickr http://farm3.staticflickr.com/2829/9953419346_8bcbd5480f_z.jpg,COCO 2017 val image 213547 | http://images.cocodataset.org/val2017/000000213547.jpg | Flickr http://farm3.staticflickr.com/2062/2243132921_779f9cdc24_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=137bbeb12ff0d4152279be001c8c5e59b03e2aac88a939db1a3667fd4aac72c6 secret=61b9b72eba0c02967cfab34df829cdd10e41c2c00e5a43be8db39d97bf43747b; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000528980-000000513181,sweep,../../data/5j/coco2017/prepared/covers/coco-000000528980-000000513181.png,../../data/5j/coco2017/prepared/secrets/coco-000000528980-000000513181.png,f183b377d0e446567aee7b47741b1bfbe5506162735649b301c61218c2053b6b,f7dfb161dcd1746d7f39ac3fe30fc211abf7d9bc261739f04767409cbbe6bf13,COCO 2017 val image 528980 | http://images.cocodataset.org/val2017/000000528980.jpg | Flickr http://farm7.staticflickr.com/6020/5948647455_15a633da61_z.jpg,COCO 2017 val image 513181 | http://images.cocodataset.org/val2017/000000513181.jpg | Flickr http://farm5.staticflickr.com/4116/4883585935_330f598ac7_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=980e7576d00d09f07ead713cc8e8ad8791025e5779fbde9f4c663733a9f9f5a2 secret=f78d6dd61aedf3cd4ef022055682f00ae764c1cbd31ff89dce10f68fe23385e7; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000440336-000000403385,sweep,../../data/5j/coco2017/prepared/covers/coco-000000440336-000000403385.png,../../data/5j/coco2017/prepared/secrets/coco-000000440336-000000403385.png,e325106bc60239728f6b95e0a33332e3109a6eb50d44166a195408caf59435fa,f3f6d123db8a95f32671c3373abd55298bb73d6dd9c3f40d1f550c59c77569cf,COCO 2017 val image 440336 | http://images.cocodataset.org/val2017/000000440336.jpg | Flickr http://farm4.staticflickr.com/3356/3490271591_e4923583b7_z.jpg,COCO 2017 val image 403385 | http://images.cocodataset.org/val2017/000000403385.jpg | Flickr http://farm4.staticflickr.com/3526/3768289025_b29315b582_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=e5c2df473a26427ae57950acec86d1e4d3a49cdf1a18d427cd1a354465408f00 secret=11632ed3fb470d62f7fe5f0445c4f10ec91225c4a820c95d1c3946af9426d4c7; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000415882-000000236426,sweep,../../data/5j/coco2017/prepared/covers/coco-000000415882-000000236426.png,../../data/5j/coco2017/prepared/secrets/coco-000000415882-000000236426.png,c322c395381c548d3e1922dc2199a113a958cff1d97396bfc9b70fd6348369f5,e5b6f5349269a775aa953bc0e4635961971cf458a7c2af3fa2718de4a10c131a,COCO 2017 val image 415882 | http://images.cocodataset.org/val2017/000000415882.jpg | Flickr http://farm3.staticflickr.com/2863/9433121554_a89e42c996_z.jpg,COCO 2017 val image 236426 | http://images.cocodataset.org/val2017/000000236426.jpg | Flickr http://farm4.staticflickr.com/3432/3897473363_7f0d22165f_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=7d0e069b095e8611362263baac6905e447882dd04e128fd83e85307b733fb753 secret=477054c151b504918e9e395a45b2cbc1ea8f0272ff61f68cc242da1609f11359; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000386134-000000169356,sweep,../../data/5j/coco2017/prepared/covers/coco-000000386134-000000169356.png,../../data/5j/coco2017/prepared/secrets/coco-000000386134-000000169356.png,03c5b1dfc26d708b084030f1e86bbab6d17bced7f279b15b579f12e34abea187,90915b8e64a3083bafcc060e784d54f7e70a66ccc8beca0185d80aacb646530d,COCO 2017 val image 386134 | http://images.cocodataset.org/val2017/000000386134.jpg | Flickr http://farm3.staticflickr.com/2891/9679798035_817d8e1517_z.jpg,COCO 2017 val image 169356 | http://images.cocodataset.org/val2017/000000169356.jpg | Flickr http://farm8.staticflickr.com/7298/9444351194_66d294013f_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=676e88db32dd10e20e60f166df9e4b71a8574d6d552871938ddc8dfce736419f secret=acd7784c7a33da47014e5c55118789be664617e8028a8d89ada6b59b9212db25; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000170116-000000127494,sweep,../../data/5j/coco2017/prepared/covers/coco-000000170116-000000127494.png,../../data/5j/coco2017/prepared/secrets/coco-000000170116-000000127494.png,478e0e74613852602e7e463196fd391f7b637942456c8110f7825d85d3c12870,fb7dca45f2bb280ffcd78f8634710b3cff9fcd36a1f777b061421fdae70efbb4,COCO 2017 val image 170116 | http://images.cocodataset.org/val2017/000000170116.jpg | Flickr http://farm6.staticflickr.com/5049/5274554848_e82152e035_z.jpg,COCO 2017 val image 127494 | http://images.cocodataset.org/val2017/000000127494.jpg | Flickr http://farm3.staticflickr.com/2644/4066113855_0a7568a8df_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=329e023a2f40925b9f28021f9daf9407d568b01edf5fd0b77ac772e27e2553c4 secret=65d47087b3c665d64aad0120658b00ac08dc9875597a5f8d801da4f70933f7fd; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000019924-000000414510,sweep,../../data/5j/coco2017/prepared/covers/coco-000000019924-000000414510.png,../../data/5j/coco2017/prepared/secrets/coco-000000019924-000000414510.png,0b0da5824a99791d1894d90be731520d2520fa311ac804fc2262ee855bd7a997,17f63bd6832f83ce7df03bb3e5cc8d23efea5efbbbcc21aaff8ce7291289a354,COCO 2017 val image 19924 | http://images.cocodataset.org/val2017/000000019924.jpg | Flickr http://farm4.staticflickr.com/3407/3642510664_1c89fbc90a_z.jpg,COCO 2017 val image 414510 | http://images.cocodataset.org/val2017/000000414510.jpg | Flickr http://farm7.staticflickr.com/6011/5883783041_745340195b_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,512,512,128,128,L,L,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=b0bb42c6674456ecd9155b790a6a595646aacfe45ce80bd7667ac75fb7fe8bc8 secret=f6f2620707df79c606e0c1cfab462860ece49bee7768f0fb2dbdfac7bdf8346e; deterministic center-fit, Pillow L conversion, bicubic resize"
