pair_id,cover,secret,cover_source,secret_source,cover_rights_status,secret_rights_status,cover_license,secret_license,preprocessing_id,redistribution_allowed,private_archive_object_id,notes
coco-000000170099-000000214205,covers/coco-000000170099-000000214205.png,secrets/coco-000000170099-000000214205.png,COCO 2017 val image 170099 | http://images.cocodataset.org/val2017/000000170099.jpg | Flickr http://farm3.staticflickr.com/2280/1812763231_06381c802c_z.jpg,COCO 2017 val image 214205 | http://images.cocodataset.org/val2017/000000214205.jpg | Flickr http://farm7.staticflickr.com/6105/6349058853_36de894aa1_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=f2a5b87c4a5249e6b7c27fac24fb1e2994ebe22fe2a2f205f33893965c64b2b9 secret=20470118cd1429a1b81bb88fdf9289e21f936e1ce5d717ea1b353dc12072978d; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000188465-000000167128,covers/coco-000000188465-000000167128.png,secrets/coco-000000188465-000000167128.png,COCO 2017 val image 188465 | http://images.cocodataset.org/val2017/000000188465.jpg | Flickr http://farm5.staticflickr.com/4034/4593328722_80576636ed_z.jpg,COCO 2017 val image 167128 | http://images.cocodataset.org/val2017/000000167128.jpg | Flickr http://farm5.staticflickr.com/4017/4538485332_b7c4cb664c_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=2d2becf3e4af9c2d3102edf1b37560f5305cf2b99c96e481e2f5ea6bc8c2aab5 secret=35f0372aa2dca6a117e1733fbe5192584cf559bd5af8b8f9e599ef6bdef8f76b; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000270908-000000542856,covers/coco-000000270908-000000542856.png,secrets/coco-000000270908-000000542856.png,COCO 2017 val image 270908 | http://images.cocodataset.org/val2017/000000270908.jpg | Flickr http://farm4.staticflickr.com/3474/3875628760_a9c353f71a_z.jpg,COCO 2017 val image 542856 | http://images.cocodataset.org/val2017/000000542856.jpg | Flickr http://farm9.staticflickr.com/8285/7826926496_3aa9e9d112_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=65bb8aa5f5d9824ec94e17911f26d6fd13bf70ff1c5756cc61fe09cfcd308618 secret=9bd2d9be44355c59e3599f1f5ddcfc06bf8209a0f24b655538e891ae6a4b3fcf; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000551304-000000094336,covers/coco-000000551304-000000094336.png,secrets/coco-000000551304-000000094336.png,COCO 2017 val image 551304 | http://images.cocodataset.org/val2017/000000551304.jpg | Flickr http://farm5.staticflickr.com/4023/4680625662_e7b56e1576_z.jpg,COCO 2017 val image 94336 | http://images.cocodataset.org/val2017/000000094336.jpg | Flickr http://farm4.staticflickr.com/3110/2412271569_4e03bbb349_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=ea9ba651ef58aa6901a9cffcf2c86768809d38ea0537ad20625d5b4508486b88 secret=147bfe5b064eea4fb43be7189fe9c3f9b4ef770ca20f698668f66834eed454db; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000210299-000000511599,covers/coco-000000210299-000000511599.png,secrets/coco-000000210299-000000511599.png,COCO 2017 val image 210299 | http://images.cocodataset.org/val2017/000000210299.jpg | Flickr http://farm7.staticflickr.com/6199/6207968507_effbfb5a1f_z.jpg,COCO 2017 val image 511599 | http://images.cocodataset.org/val2017/000000511599.jpg | Flickr http://farm5.staticflickr.com/4127/5057922539_44be49d73a_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=dbdcbb432c918d11747928a3eb0d80498b9cc52087b5fe515e17b3cffb7e8240 secret=f2de24fb69d55624946a215c565eeb8b5b83dc1e88f127c2d84270f764de8903; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000284725-000000389532,covers/coco-000000284725-000000389532.png,secrets/coco-000000284725-000000389532.png,COCO 2017 val image 284725 | http://images.cocodataset.org/val2017/000000284725.jpg | Flickr http://farm8.staticflickr.com/7375/9766932005_d859b2b6da_z.jpg,COCO 2017 val image 389532 | http://images.cocodataset.org/val2017/000000389532.jpg | Flickr http://farm8.staticflickr.com/7288/9496990496_470806b95e_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=10ab8075df3cd9e3344d12fbb764a3c977e809bd06726649b686dd68abcbdf07 secret=dbbd71bdca1e21d52a9e0ec34d0ed68141e45ab804e67d5adefa392b00378b98; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000531036-000000089556,covers/coco-000000531036-000000089556.png,secrets/coco-000000531036-000000089556.png,COCO 2017 val image 531036 | http://images.cocodataset.org/val2017/000000531036.jpg | Flickr http://farm8.staticflickr.com/7288/8740762571_0849912a06_z.jpg,COCO 2017 val image 89556 | http://images.cocodataset.org/val2017/000000089556.jpg | Flickr http://farm7.staticflickr.com/6093/6210323230_57fab50c4b_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=79be9c405b3ce4d2eea61fc29b0e1e633504fbeebee6483d64dfb38b1dd844a5 secret=b78eb0eb1250b86210658687ff5063428e0cbff2858d4e07d8dee107ae1964f8; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000083540-000000161875,covers/coco-000000083540-000000161875.png,secrets/coco-000000083540-000000161875.png,COCO 2017 val image 83540 | http://images.cocodataset.org/val2017/000000083540.jpg | Flickr http://farm4.staticflickr.com/3585/3410597213_ae8d3e9765_z.jpg,COCO 2017 val image 161875 | http://images.cocodataset.org/val2017/000000161875.jpg | Flickr http://farm9.staticflickr.com/8095/8424253224_c62e5479c8_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=7fb101573bc859a0ec171c09e924d6ec39c92205de5572dd9068486ccb5d80cd secret=76dace8890923f2712afb6211331f1a73173ad0e03c1394b4a04342f11daedbd; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000166165-000000213033,covers/coco-000000166165-000000213033.png,secrets/coco-000000166165-000000213033.png,COCO 2017 val image 166165 | http://images.cocodataset.org/val2017/000000166165.jpg | Flickr http://farm5.staticflickr.com/4149/5018726736_c0b5939690_z.jpg,COCO 2017 val image 213033 | http://images.cocodataset.org/val2017/000000213033.jpg | Flickr http://farm8.staticflickr.com/7432/9152238734_d0dd381aa5_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=9af70d781b5b0326a360917a64c13df5155f54252918b650d3c24049abc34078 secret=73a97cb8eceb57e2b1872b7470a11c6e5abb2c03173bd4ce94a45c0d096ae5ea; deterministic center-fit, Pillow L conversion, bicubic resize"
coco-000000286523-000000353518,covers/coco-000000286523-000000353518.png,secrets/coco-000000286523-000000353518.png,COCO 2017 val image 286523 | http://images.cocodataset.org/val2017/000000286523.jpg | Flickr http://farm4.staticflickr.com/3272/2646617772_52272c12bf_z.jpg,COCO 2017 val image 353518 | http://images.cocodataset.org/val2017/000000353518.jpg | Flickr http://farm4.staticflickr.com/3613/3416975716_bf15066363_z.jpg,redistribution_permitted,redistribution_permitted,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,CC BY 2.0 http://creativecommons.org/licenses/by/2.0/,coco2017-val-centerfit-bicubic-pillowL-v1,true,,"COCO source SHA256 cover=909be1226454ad633c9a15237b6a86806452c77b40c0d478afaed61a54fd05fc secret=21061522030b6c364311f8ce410c13e5c37e1b62d33ff240c7417edb9754d423; deterministic center-fit, Pillow L conversion, bicubic resize"
