condition_key,count,failure_stage,fraction,method
clean,50,S0_COMPLETE,1.0,B1
gaussian:10,150,S2_HEADER_VALID_PARTIAL,1.0,B1
gaussian:15,150,S2_HEADER_VALID_PARTIAL,1.0,B1
gaussian:5,150,S2_HEADER_VALID_PARTIAL,1.0,B1
jpeg:50,50,S2_HEADER_VALID_PARTIAL,1.0,B1
jpeg:70,50,S2_HEADER_VALID_PARTIAL,1.0,B1
jpeg:90,50,S2_HEADER_VALID_PARTIAL,1.0,B1
salt_pepper:0.01,150,S2_HEADER_VALID_PARTIAL,1.0,B1
salt_pepper:0.03,150,S2_HEADER_VALID_PARTIAL,1.0,B1
salt_pepper:0.05,150,S2_HEADER_VALID_PARTIAL,1.0,B1
clean,32,S0_COMPLETE,0.64,B2
clean,18,S5_EXTRACTION_TRANSFORM_FAILURE,0.36,B2
gaussian:10,96,S2_HEADER_VALID_PARTIAL,0.64,B2
gaussian:10,54,S5_EXTRACTION_TRANSFORM_FAILURE,0.36,B2
gaussian:15,96,S2_HEADER_VALID_PARTIAL,0.64,B2
gaussian:15,54,S5_EXTRACTION_TRANSFORM_FAILURE,0.36,B2
gaussian:5,96,S2_HEADER_VALID_PARTIAL,0.64,B2
gaussian:5,54,S5_EXTRACTION_TRANSFORM_FAILURE,0.36,B2
jpeg:50,32,S2_HEADER_VALID_PARTIAL,0.64,B2
jpeg:50,18,S5_EXTRACTION_TRANSFORM_FAILURE,0.36,B2
jpeg:70,32,S2_HEADER_VALID_PARTIAL,0.64,B2
jpeg:70,18,S5_EXTRACTION_TRANSFORM_FAILURE,0.36,B2
jpeg:90,32,S2_HEADER_VALID_PARTIAL,0.64,B2
jpeg:90,18,S5_EXTRACTION_TRANSFORM_FAILURE,0.36,B2
salt_pepper:0.01,96,S2_HEADER_VALID_PARTIAL,0.64,B2
salt_pepper:0.01,54,S5_EXTRACTION_TRANSFORM_FAILURE,0.36,B2
salt_pepper:0.03,96,S2_HEADER_VALID_PARTIAL,0.64,B2
salt_pepper:0.03,54,S5_EXTRACTION_TRANSFORM_FAILURE,0.36,B2
salt_pepper:0.05,96,S2_HEADER_VALID_PARTIAL,0.64,B2
salt_pepper:0.05,54,S5_EXTRACTION_TRANSFORM_FAILURE,0.36,B2
clean,49,S0_COMPLETE,0.98,C0
clean,1,S4_HEADER_FAILURE,0.02,C0
gaussian:10,150,S4_HEADER_FAILURE,1.0,C0
gaussian:15,150,S4_HEADER_FAILURE,1.0,C0
gaussian:5,150,S4_HEADER_FAILURE,1.0,C0
jpeg:50,50,S4_HEADER_FAILURE,1.0,C0
jpeg:70,50,S4_HEADER_FAILURE,1.0,C0
jpeg:90,50,S4_HEADER_FAILURE,1.0,C0
salt_pepper:0.01,150,S4_HEADER_FAILURE,1.0,C0
salt_pepper:0.03,150,S4_HEADER_FAILURE,1.0,C0
salt_pepper:0.05,150,S4_HEADER_FAILURE,1.0,C0
clean,49,S0_COMPLETE,0.98,C1
clean,1,S4_HEADER_FAILURE,0.02,C1
gaussian:10,150,S4_HEADER_FAILURE,1.0,C1
gaussian:15,150,S4_HEADER_FAILURE,1.0,C1
gaussian:5,150,S4_HEADER_FAILURE,1.0,C1
jpeg:50,50,S4_HEADER_FAILURE,1.0,C1
jpeg:70,50,S4_HEADER_FAILURE,1.0,C1
jpeg:90,50,S4_HEADER_FAILURE,1.0,C1
salt_pepper:0.01,150,S4_HEADER_FAILURE,1.0,C1
salt_pepper:0.03,150,S4_HEADER_FAILURE,1.0,C1
salt_pepper:0.05,150,S4_HEADER_FAILURE,1.0,C1
clean,49,S0_COMPLETE,0.98,C2
clean,1,S4_HEADER_FAILURE,0.02,C2
gaussian:10,150,S4_HEADER_FAILURE,1.0,C2
gaussian:15,150,S4_HEADER_FAILURE,1.0,C2
gaussian:5,150,S4_HEADER_FAILURE,1.0,C2
jpeg:50,50,S4_HEADER_FAILURE,1.0,C2
jpeg:70,50,S4_HEADER_FAILURE,1.0,C2
jpeg:90,50,S4_HEADER_FAILURE,1.0,C2
salt_pepper:0.01,150,S4_HEADER_FAILURE,1.0,C2
salt_pepper:0.03,150,S4_HEADER_FAILURE,1.0,C2
salt_pepper:0.05,150,S4_HEADER_FAILURE,1.0,C2
clean,49,S0_COMPLETE,0.98,C3
clean,1,S4_HEADER_FAILURE,0.02,C3
gaussian:10,150,S4_HEADER_FAILURE,1.0,C3
gaussian:15,150,S4_HEADER_FAILURE,1.0,C3
gaussian:5,150,S4_HEADER_FAILURE,1.0,C3
jpeg:50,50,S4_HEADER_FAILURE,1.0,C3
jpeg:70,50,S4_HEADER_FAILURE,1.0,C3
jpeg:90,50,S4_HEADER_FAILURE,1.0,C3
salt_pepper:0.01,150,S4_HEADER_FAILURE,1.0,C3
salt_pepper:0.03,150,S4_HEADER_FAILURE,1.0,C3
salt_pepper:0.05,150,S4_HEADER_FAILURE,1.0,C3
clean,49,S0_COMPLETE,0.98,C3_NP
clean,1,S4_HEADER_FAILURE,0.02,C3_NP
gaussian:10,150,S4_HEADER_FAILURE,1.0,C3_NP
gaussian:15,150,S4_HEADER_FAILURE,1.0,C3_NP
gaussian:5,150,S4_HEADER_FAILURE,1.0,C3_NP
jpeg:50,50,S4_HEADER_FAILURE,1.0,C3_NP
jpeg:70,50,S4_HEADER_FAILURE,1.0,C3_NP
jpeg:90,50,S4_HEADER_FAILURE,1.0,C3_NP
salt_pepper:0.01,150,S4_HEADER_FAILURE,1.0,C3_NP
salt_pepper:0.03,150,S4_HEADER_FAILURE,1.0,C3_NP
salt_pepper:0.05,150,S4_HEADER_FAILURE,1.0,C3_NP
